gTG	E_N2_num	E_N2_ana	E_N2_sf	E_N3_num	E_N3_ana	E_N3_sf
0	-13.107	-13.0919	-13.107	-27.8914	-27.6772	-27.8914
0.1	-12.964	-12.949	-12.964	-27.4923	-27.285	-27.4923
0.2	-12.8224	-12.8068	-12.8224	-27.0963	-26.8953	-27.0963
0.3	-12.6823	-12.6653	-12.6823	-26.7033	-26.5082	-26.7033
0.4	-12.5437	-12.5246	-12.5437	-26.3135	-26.1237	-26.3135
0.5	-12.4065	-12.3847	-12.4065	-25.9267	-25.7418	-25.9267
0.6	-12.2708	-12.2456	-12.2708	-25.5432	-25.3625	-25.5432
0.7	-12.1365	-12.1072	-12.1365	-25.1627	-24.9858	-25.1627
0.8	-12.0037	-11.9696	-12.0037	-24.7855	-24.6118	-24.7855
0.9	-11.8723	-11.8327	-11.8723	-24.4115	-24.2404	-24.4115
1	-11.7423	-11.6966	-11.7423	-24.0408	-23.8716	-24.0408
1.1	-11.6138	-11.5613	-11.6138	-23.6733	-23.5054	-23.6733
1.2	-11.4867	-11.4268	-11.4867	-23.3091	-23.1419	-23.3091
1.3	-11.3611	-11.293	-11.3611	-22.9483	-22.781	-22.9483
1.4	-11.2368	-11.16	-11.2368	-22.5908	-22.4227	-22.5908
1.5	-11.114	-11.0277	-11.114	-22.2367	-22.0671	-22.2367
1.6	-10.9926	-10.8962	-10.9926	-21.8859	-21.7141	-21.8859
1.7	-10.8726	-10.7655	-10.8726	-21.5386	-21.3638	-21.5386
1.8	-10.754	-10.6356	-10.754	-21.1948	-21.0162	-21.1948
1.9	-10.6368	-10.5064	-10.6368	-20.8543	-20.6712	-20.8543
2	-10.521	-10.378	-10.521	-20.5174	-20.3288	-20.5174
2.1	-10.4066	-10.2503	-10.4066	-20.184	-19.9892	-20.184
2.2	-10.2936	-10.1235	-10.2936	-19.854	-19.6522	-19.854
2.3	-10.182	-9.99736	-10.182	-19.5276	-19.3179	-19.5276
2.4	-10.0717	-9.87203	-10.0717	-19.2048	-18.9863	-19.2048
2.5	-9.96285	-9.74747	-9.96285	-18.8855	-18.6574	-18.8855
2.6	-9.85533	-9.62368	-9.85533	-18.5699	-18.3311	-18.5699
2.7	-9.74917	-9.50066	-9.74917	-18.2578	-18.0076	-18.2578
2.8	-9.64436	-9.37842	-9.64436	-17.9493	-17.6867	-17.9493
2.9	-9.5409	-9.25695	-9.5409	-17.6445	-17.3686	-17.6445
3	-9.43879	-9.13625	-9.43879	-17.3433	-17.0532	-17.3433
3.1	-9.338	-9.01632	-9.338	-17.0458	-16.7404	-17.0458
3.2	-9.23854	-8.89717	-9.23854	-16.752	-16.4304	-16.752
3.3	-9.14041	-8.77879	-9.14041	-16.4618	-16.1232	-16.4618
3.4	-9.04359	-8.66119	-9.04359	-16.1753	-15.8186	-16.1753
3.5	-8.94808	-8.54436	-8.94808	-15.8925	-15.5168	-15.8925
3.6	-8.85388	-8.4283	-8.85388	-15.6135	-15.2177	-15.6135
3.7	-8.76096	-8.31302	-8.76096	-15.3382	-14.9213	-15.3382
3.8	-8.66933	-8.19852	-8.66933	-15.0666	-14.6277	-15.0666
3.9	-8.57899	-8.08479	-8.57899	-14.7987	-14.3369	-14.7987
4	-8.48991	-7.97184	-8.48991	-14.5346	-14.0488	-14.5346
4.1	-8.4021	-7.85966	-8.4021	-14.2742	-13.7634	-14.2742
