x	rho_sf	rho_sf_ana	rho_pin	rho_pin_ana	rho_crit
-4.9902	0	1.0603e-16	0	2.4456e-05	0
-4.9805	0	1.1456e-16	0	2.5428e-05	0
-4.9707	0	1.2378e-16	0	2.6438e-05	0
-4.9609	0	1.3374e-16	0	2.7489e-05	0
-4.9512	0	1.445e-16	0	2.8581e-05	0
-4.9414	0	1.5612e-16	0	2.9717e-05	0
-4.9316	0	1.6869e-16	0	3.0898e-05	0
-4.9219	0	1.8226e-16	0	3.2126e-05	0
-4.9121	0	1.9692e-16	0	3.3402e-05	0
-4.9023	0	2.1277e-16	0	3.473e-05	0
-4.8926	0	2.2989e-16	0	3.611e-05	0
-4.8828	0	2.4839e-16	0	3.7545e-05	0
-4.873	0	2.6837e-16	0	3.9037e-05	0
-4.8633	0	2.8997e-16	0	4.0588e-05	0
-4.8535	0	3.133e-16	0	4.2201e-05	0
-4.8438	0	3.3851e-16	0	4.3878e-05	0
-4.834	0	3.6574e-16	0	4.5621e-05	0
-4.8242	0	3.9517e-16	0	4.7434e-05	0
-4.8145	0	4.2697e-16	0	4.9319e-05	0
-4.8047	0	4.6132e-16	0	5.1279e-05	0
-4.7949	0	4.9844e-16	0	5.3317e-05	0
-4.7852	0	5.3855e-16	0	5.5435e-05	0
-4.7754	0	5.8188e-16	0	5.7638e-05	0
-4.7656	0	6.287e-16	0	5.9929e-05	0
-4.7559	0	6.7929e-16	0	6.231e-05	0
-4.7461	0	7.3395e-16	0	6.4786e-05	0
-4.7363	0	7.93e-16	0	6.736e-05	0
-4.7266	0	8.5681e-16	0	7.0037e-05	0
-4.7168	0	9.2575e-16	0	7.282e-05	0
-4.707	0	1.0002e-15	0	7.5714e-05	0
-4.6973	0	1.0807e-15	0	7.8722e-05	0
-4.6875	0	1.1677e-15	0	8.1851e-05	0
-4.6777	0	1.2616e-15	0	8.5103e-05	0
-4.668	0	1.3631e-15	0	8.8485e-05	0
-4.6582	0	1.4728e-15	0	9.2001e-05	0
-4.6484	0	1.5913e-15	0	9.5657e-05	0
-4.6387	0	1.7194e-15	0	9.9458e-05	0
-4.6289	0	1.8577e-15	0	0.00010341	0
-4.6191	0	2.0072e-15	0	0.00010752	0
-4.6094	0	2.1687e-15	0	0.00011179	0
-4.5996	0	2.3432e-15	0	0.00011623	0
-4.5898	0	2.5317e-15	0	0.00012085	0
-4.5801	0	2.7355e-15	0	0.00012565	0
-4.5703	0	2.9556e-15	0	0.00013065	0
-4.5605	0	3.1934e-15	0	0.00013584	0
-4.5508	0	3.4503e-15	0	0.00014124	0
-4.541	0	3.7279e-15	0	0.00014685	0
-4.5312	0	4.0279e-15	0	0.00015268	0
-4.5215	0	4.352e-15	0	0.00015875	0
-4.5117	0	4.7022e-15	0	0.00016506	0
-4.502	0	5.0805e-15	0	0.00017162	0
-4.4922	0	5.4893e-15	0	0.00017844	0
-4.4824	0	5.931e-15	0	0.00018553	0
-4.4727	0	6.4082e-15	0	0.0001929	0
-4.4629	0	6.9238e-15	0	0.00020056	0
-4.4531	0	7.4809e-15	0	0.00020853	0
-4.4434	0	8.0829e-15	0	0.00021682	0
-4.4336	0	8.7333e-15	0	0.00022543	0
-4.4238	0	9.436e-15	0	0.00023439	0
-4.4141	0	1.0195e-14	0	0.0002437	0
-4.4043	0	1.1016e-14	0	0.00025339	0
-4.3945	0	1.1902e-14	0	0.00026345	0
-4.3848	0	1.286e-14	0	0.00027392	0
-4.375	0	1.3894e-14	0	0.00028481	0
-4.3652	0	1.5012e-14	0	0.00029612	0
-4.3555	0	1.622e-14	0	0.00030789	0
-4.3457	0	1.7525e-14	0	0.00032012	0
-4.3359	0	1.8935e-14	0	0.00033284	0
-4.3262	0	2.0459e-14	0	0.00034606	0
-4.3164	0	2.2105e-14	0	0.00035981	0
-4.3066	0	2.3884e-14	0	0.00037411	0
-4.2969	0	2.5806e-14	0	0.00038897	0
-4.2871	0	2.7882e-14	0	0.00040443	0
-4.2773	0	3.0125e-14	0	0.0004205	0
-4.2676	0	3.2549e-14	0	0.0004372	0
-4.2578	0	3.5168e-14	0	0.00045457	0
-4.248	0	3.7998e-14	0	0.00047263	0
-4.2383	0	4.1056e-14	0	0.00049141	0
-4.2285	0	4.4359e-14	0	0.00051093	0
-4.2188	0	4.7928e-14	0	0.00053123	0
-4.209	0	5.1785e-14	0	0.00055233	0
-4.1992	0	5.5951e-14	0	0.00057428	0
-4.1895	0	6.0453e-14	0	0.00059709	0
-4.1797	0	6.5318e-14	0	0.00062081	0
-4.1699	0	7.0573e-14	0	0.00064547	0
-4.1602	0	7.6252e-14	0	0.00067111	0
-4.1504	0	8.2387e-14	0	0.00069777	0
-4.1406	0	8.9016e-14	0	0.00072549	0
-4.1309	0	9.6179e-14	0	0.00075431	0
-4.1211	0	1.0392e-13	0	0.00078427	0
-4.1113	0	1.1228e-13	0	0.00081543	0
-4.1016	0	1.2131e-13	0	0.00084782	0
-4.0918	0	1.3107e-13	0	0.00088149	0
-4.082	0	1.4162e-13	0	0.00091651	0
-4.0723	0	1.5302e-13	0	0.00095291	0
-4.0625	0	1.6533e-13	0	0.00099076	0
-4.0527	0	1.7863e-13	0	0.0010301	0
-4.043	0	1.93e-13	0	0.001071	0
-4.0332	0	2.0853e-13	0	0.0011136	0
-4.0234	0	2.2531e-13	0	0.0011578	0
-4.0137	0	2.4344e-13	0	0.0012038	0
-4.0039	0	2.6303e-13	0	0.0012516	0
