x	rho_sf	rho_sf_ana	rho_pin	rho_pin_ana	rho_crit
1.4062	2.8357e-06	2.7368e-06	0.014739	0.014733	0.71865
1.4355	2.0571e-06	1.9463e-06	0.013168	0.01316	0.68141
1.4648	1.4962e-06	1.3841e-06	0.011774	0.011764	0.64363
1.4941	1.0914e-06	9.8432e-07	0.010538	0.010525	0.60574
1.5234	7.9855e-07	7.0001e-07	0.0094434	0.0094279	0.56814
1.5527	5.8629e-07	4.9782e-07	0.0084755	0.0084578	0.53116
1.582	4.3204e-07	3.5403e-07	0.0076215	0.0076017	0.4951
1.6113	3.1964e-07	2.5177e-07	0.0068701	0.0068483	0.46019
1.6406	2.3751e-07	1.7905e-07	0.0062112	0.0061876	0.42663
1.6699	1.7729e-07	1.2733e-07	0.005636	0.0056106	0.39458
1.6992	1.33e-07	9.0552e-08	0.0051368	0.0051096	0.36412
1.7285	1.0029e-07	6.4397e-08	0.0047068	0.004678	0.33534
1.7578	7.6049e-08	4.5796e-08	0.0043403	0.0043099	0.30826
1.7871	5.8004e-08	3.2568e-08	0.0040322	0.0040003	0.28288
1.8164	4.4511e-08	2.3161e-08	0.0037785	0.0037451	0.25919
1.8457	3.4375e-08	1.6471e-08	0.0035758	0.0035409	0.23716
1.875	2.6722e-08	1.1714e-08	0.0034212	0.0033848	0.21673
1.9043	2.0914e-08	8.3303e-09	0.0033128	0.0032748	0.19783
1.9336	1.6481e-08	5.9241e-09	0.003249	0.0032094	0.18039
1.9629	1.3079e-08	4.213e-09	0.003229	0.0031877	0.16434
1.9922	1.0452e-08	2.9961e-09	0.0032525	0.0032094	0.14959
2.0215	8.412e-09	2.1307e-09	0.00332	0.0032748	0.13607
2.0508	6.8174e-09	1.5153e-09	0.0034323	0.0033848	0.12369
2.0801	5.5633e-09	1.0776e-09	0.003591	0.0035409	0.11237
2.1094	4.5705e-09	7.6634e-10	0.0037983	0.0037451	0.10204
2.1387	3.7795e-09	5.4499e-10	0.004057	0.0040003	0.092614
2.168	3.1452e-09	3.8757e-10	0.0043706	0.0043099	0.084026
2.1973	2.6333e-09	2.7562e-10	0.0047434	0.004678	0.076208
2.2266	2.2174e-09	1.9601e-10	0.0051806	0.0051096	0.069098
2.2559	1.8775e-09	1.394e-10	0.005688	0.0056106	0.062634
2.2852	1.5979e-09	9.9132e-11	0.0062726	0.0061876	0.056763
2.3145	1.3664e-09	7.0499e-11	0.0069422	0.0068483	0.051433
